Date,Open,High,Low,Close,Volume
2021-09-06,270.0,290.0,270.0,290.0,556700
2021-09-07,252.0,274.0,252.0,270.0,1181800
2021-09-08,252.0,270.0,238.0,254.0,434300
2021-09-09,254.0,274.0,246.0,254.0,480900
2021-09-10,238.0,254.0,238.0,254.0,534100
2021-09-13,222.0,240.0,222.0,238.0,703500
2021-09-14,276.0,276.0,228.0,232.0,2975400
2021-09-15,300.0,338.0,282.0,282.0,7080200
2021-09-16,280.0,306.0,280.0,300.0,755700
2021-09-17,270.0,292.0,262.0,280.0,604200
2021-09-20,254.0,270.0,252.0,270.0,281700
2021-09-21,254.0,260.0,238.0,254.0,198300
2021-09-22,242.0,252.0,240.0,250.0,338500
2021-09-23,302.0,302.0,242.0,242.0,2946100
2021-09-24,282.0,334.0,282.0,312.0,1034900
2021-09-27,264.0,264.0,264.0,264.0,610200
2021-09-28,278.0,322.0,264.0,266.0,10873500
2021-09-29,260.0,292.0,260.0,278.0,880500
2021-09-30,254.0,294.0,242.0,260.0,2165000
2021-10-01,254.0,260.0,244.0,254.0,222800
2021-10-04,254.0,262.0,250.0,254.0,116800
2021-10-05,254.0,260.0,250.0,256.0,47800
2021-10-06,248.0,254.0,246.0,254.0,127800
2021-10-07,288.0,288.0,246.0,254.0,2196000
2021-10-08,314.0,360.0,270.0,292.0,15205800
2021-10-11,294.0,320.0,294.0,318.0,1796200
2021-10-12,274.0,308.0,274.0,292.0,3987900
2021-10-13,292.0,292.0,260.0,280.0,1108100
2021-10-14,290.0,318.0,272.0,298.0,3786700
2021-10-15,272.0,294.0,272.0,294.0,1269200
2021-10-18,272.0,280.0,262.0,274.0,213100
2021-10-19,272.0,276.0,270.0,272.0,172000
2021-10-21,266.0,306.0,264.0,274.0,6456400
2021-10-22,266.0,276.0,266.0,268.0,786000
2021-10-25,268.0,278.0,256.0,266.0,527800
2021-10-26,264.0,278.0,262.0,268.0,520400
2021-10-27,266.0,270.0,260.0,264.0,209500
2021-10-28,268.0,294.0,260.0,266.0,2490400
2021-10-29,268.0,272.0,262.0,270.0,315800
2021-11-01,278.0,322.0,264.0,264.0,19207500
2021-11-02,288.0,310.0,276.0,280.0,7306000
2021-11-03,274.0,290.0,272.0,290.0,1375200
2021-11-04,280.0,294.0,272.0,274.0,942200
2021-11-05,274.0,284.0,274.0,284.0,386100
2021-11-08,278.0,282.0,272.0,274.0,290300
2021-11-09,280.0,314.0,268.0,276.0,9092600
2021-11-10,278.0,284.0,274.0,282.0,729800
2021-11-11,276.0,282.0,274.0,278.0,328700
2021-11-12,272.0,278.0,268.0,278.0,404600
2021-11-15,268.0,282.0,266.0,278.0,687800
2021-11-16,272.0,282.0,268.0,270.0,430100
2021-11-17,274.0,278.0,270.0,274.0,185000
2021-11-18,270.0,278.0,270.0,274.0,196400
2021-11-19,264.0,272.0,262.0,270.0,265200
2021-11-22,252.0,264.0,250.0,260.0,427600
2021-11-23,266.0,272.0,256.0,256.0,922600
2021-11-24,262.0,270.0,258.0,268.0,129400
2021-11-25,260.0,266.0,256.0,264.0,144700
2021-11-26,252.0,266.0,250.0,262.0,345400
2021-11-29,242.0,266.0,238.0,250.0,988300
2021-11-30,238.0,260.0,232.0,246.0,256700
2021-12-01,242.0,244.0,234.0,238.0,120500
2021-12-02,236.0,242.0,234.0,242.0,50900
2021-12-03,244.0,260.0,236.0,240.0,462300
2021-12-06,246.0,250.0,240.0,248.0,169800
2021-12-07,246.0,272.0,242.0,242.0,1610200
2021-12-08,246.0,254.0,242.0,244.0,91300
2021-12-09,242.0,246.0,240.0,242.0,53000
2021-12-10,248.0,250.0,242.0,242.0,106800
2021-12-13,248.0,256.0,240.0,248.0,217400
2021-12-14,248.0,252.0,248.0,250.0,32100
2021-12-15,250.0,250.0,244.0,248.0,100500
2021-12-16,248.0,250.0,244.0,250.0,35000
2021-12-17,250.0,256.0,236.0,250.0,201000
2021-12-20,248.0,278.0,242.0,246.0,622400
2021-12-21,250.0,264.0,250.0,250.0,162700
2021-12-22,250.0,254.0,248.0,250.0,25900
2021-12-23,250.0,252.0,250.0,250.0,33200
2021-12-24,258.0,262.0,250.0,250.0,132500
2021-12-27,250.0,260.0,248.0,260.0,53700
2021-12-28,254.0,256.0,250.0,256.0,15400
2021-12-29,252.0,260.0,252.0,254.0,8500
2021-12-30,250.0,266.0,250.0,250.0,135900
2022-01-03,252.0,260.0,250.0,250.0,58000
2022-01-04,250.0,252.0,250.0,252.0,39700
2022-01-05,244.0,250.0,244.0,250.0,66100
2022-01-06,260.0,260.0,242.0,244.0,344000
2022-01-07,272.0,274.0,250.0,260.0,1429700
2022-01-10,254.0,284.0,254.0,274.0,3016800
2022-01-11,260.0,260.0,246.0,254.0,531600
2022-01-12,246.0,260.0,246.0,260.0,134900
2022-01-13,246.0,258.0,246.0,246.0,67400
2022-01-14,246.0,254.0,244.0,246.0,46200
2022-01-17,244.0,246.0,240.0,244.0,24700
2022-01-18,240.0,246.0,238.0,244.0,24100
2022-01-19,232.0,240.0,228.0,240.0,149100
2022-01-20,230.0,232.0,224.0,232.0,72900
2022-01-21,232.0,240.0,230.0,230.0,210200
2022-01-24,258.0,260.0,232.0,232.0,1428900
2022-01-25,240.0,266.0,240.0,258.0,1865800
2022-01-26,224.0,240.0,224.0,240.0,359600
2022-01-27,224.0,228.0,210.0,224.0,148300
2022-01-28,222.0,242.0,212.0,222.0,1281100
2022-01-31,218.0,222.0,208.0,222.0,1499800
2022-02-02,210.0,218.0,208.0,218.0,112500
2022-02-03,220.0,234.0,210.0,210.0,101600
2022-02-04,224.0,232.0,220.0,220.0,119100
2022-02-07,214.0,224.0,210.0,224.0,121400
2022-02-08,218.0,224.0,212.0,214.0,69000
2022-02-09,208.0,218.0,206.0,218.0,330200
2022-02-10,218.0,220.0,208.0,212.0,272100
2022-02-11,210.0,230.0,210.0,224.0,87000
2022-02-14,210.0,218.0,202.0,218.0,127500
2022-02-15,210.0,218.0,204.0,216.0,58900
2022-02-16,204.0,218.0,200.0,210.0,63300
2022-02-17,212.0,212.0,199.0,204.0,60000
2022-02-18,214.0,220.0,212.0,212.0,187000
2022-02-21,216.0,216.0,212.0,214.0,9700
2022-02-22,208.0,214.0,208.0,214.0,16200
2022-02-23,216.0,218.0,202.0,204.0,19300
2022-02-24,202.0,216.0,202.0,216.0,70900
2022-02-25,220.0,220.0,188.0,214.0,450100
2022-03-01,226.0,228.0,216.0,216.0,173900
2022-03-02,218.0,224.0,216.0,218.0,16100
2022-03-04,220.0,224.0,208.0,208.0,4500
2022-03-07,208.0,242.0,206.0,218.0,1216500
2022-03-08,200.0,208.0,200.0,208.0,137400
2022-03-09,206.0,220.0,200.0,210.0,75100
2022-03-10,216.0,220.0,204.0,212.0,113000
2022-03-11,216.0,216.0,208.0,208.0,2100
2022-03-14,214.0,216.0,206.0,216.0,14700
2022-03-15,218.0,250.0,206.0,212.0,1497800
2022-03-16,220.0,220.0,210.0,220.0,38300
2022-03-17,212.0,220.0,212.0,220.0,11400
2022-03-18,216.0,220.0,210.0,212.0,29800
2022-03-21,218.0,224.0,216.0,224.0,51000
2022-03-22,220.0,226.0,210.0,222.0,96400
2022-03-23,224.0,226.0,216.0,220.0,96100
2022-03-24,230.0,238.0,220.0,222.0,74000
2022-03-25,222.0,230.0,220.0,230.0,13400
2022-03-28,214.0,228.0,214.0,222.0,15900
2022-03-29,226.0,228.0,216.0,222.0,98200
2022-03-30,226.0,226.0,220.0,226.0,7900
2022-03-31,226.0,234.0,220.0,234.0,10900
2022-04-01,214.0,228.0,214.0,228.0,30800
2022-04-04,206.0,224.0,206.0,224.0,62900
2022-04-05,210.0,228.0,210.0,216.0,189600
2022-04-06,262.0,262.0,210.0,210.0,2374400
2022-04-07,310.0,322.0,244.0,262.0,10363000
2022-04-08,290.0,310.0,290.0,310.0,571500
2022-04-11,270.0,270.0,270.0,270.0,114400
2022-04-12,252.0,306.0,252.0,252.0,10542000
2022-04-13,236.0,236.0,236.0,236.0,274900
2022-04-14,220.0,220.0,220.0,220.0,162700
2022-04-18,206.0,228.0,206.0,206.0,4002800
2022-04-19,256.0,256.0,200.0,214.0,8964000
2022-04-20,320.0,320.0,240.0,266.0,30241600
2022-04-21,298.0,362.0,298.0,326.0,39280900
2022-04-22,278.0,296.0,278.0,278.0,3494400
2022-04-25,260.0,260.0,260.0,260.0,113000
2022-04-26,242.0,270.0,242.0,242.0,3488200
2022-04-27,232.0,244.0,226.0,240.0,2734300
2022-04-28,228.0,258.0,222.0,226.0,1535100
2022-05-09,234.0,254.0,232.0,236.0,896500
2022-05-10,228.0,244.0,220.0,234.0,609700
2022-05-11,220.0,234.0,218.0,228.0,423200
2022-05-12,212.0,228.0,208.0,228.0,327000
2022-05-13,208.0,214.0,204.0,212.0,277700
2022-05-17,216.0,228.0,206.0,208.0,378300
2022-05-18,212.0,226.0,210.0,220.0,158700
2022-05-19,206.0,216.0,200.0,216.0,398400
2022-05-20,208.0,216.0,202.0,206.0,281600
2022-05-23,212.0,220.0,208.0,208.0,179200
2022-05-24,214.0,220.0,214.0,216.0,152100
2022-05-25,216.0,220.0,212.0,216.0,69100
2022-05-27,214.0,218.0,208.0,218.0,75300
2022-05-30,210.0,212.0,204.0,212.0,119900
2022-05-31,200.0,206.0,200.0,206.0,306900
2022-06-02,186.0,191.0,186.0,190.0,1277000
2022-06-03,173.0,189.0,173.0,177.0,2572600
2022-06-06,164.0,173.0,161.0,163.0,602000
2022-06-07,159.0,169.0,155.0,155.0,100500
2022-06-08,158.0,164.0,153.0,160.0,279700
2022-06-09,158.0,159.0,155.0,158.0,82100
2022-06-10,155.0,160.0,155.0,159.0,115400
2022-06-13,156.0,163.0,154.0,163.0,118700
2022-06-14,155.0,157.0,150.0,156.0,197400
2022-06-15,151.0,165.0,150.0,165.0,85000
2022-06-16,150.0,154.0,147.0,152.0,59700
2022-06-17,151.0,154.0,147.0,150.0,10700
2022-06-20,142.0,151.0,141.0,151.0,129300
2022-06-21,156.0,156.0,138.0,144.0,91600
2022-06-22,148.0,162.0,146.0,158.0,108200
2022-06-23,144.0,158.0,143.0,158.0,14300
2022-06-24,140.0,150.0,139.0,150.0,26400
2022-06-27,138.0,150.0,134.0,150.0,93100
2022-06-28,143.0,147.0,137.0,147.0,25800
2022-06-29,143.0,143.0,140.0,143.0,74900
2022-06-30,142.0,150.0,138.0,150.0,8100
2022-07-01,139.0,148.0,136.0,148.0,9600
2022-07-04,140.0,146.0,130.0,146.0,61100
2022-07-05,141.0,150.0,137.0,150.0,4200
